Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Stop_Loss,Target,RR_Ratio,BTST_Score
HDFCBANK,765.8,-2.11,0.18,31.0,-5.2279,823.99,875.56,44.6,23.5,24.0,1020.5,False,,False,False,False,-1.16,False,763.0,801.8,12.86,10.0
MARUTI,12567.0,-1.13,0.07,33.2,-17.2777,13284.27,14241.73,43.5,45.1,370.93,17370.0,False,,False,False,False,-0.67,False,12502.0,13123.4,8.56,10.0
EICHERMOT,6868.5,-1.77,0.08,41.7,-30.7352,7132.57,7288.11,29.5,24.4,221.83,8230.0,False,,False,False,False,-1.11,False,6853.0,7201.25,21.47,10.0
TMCV,413.65,-4.21,0.26,41.2,-3.9097,439.13,440.46,33.6,8.3,21.15,509.0,False,,False,False,False,-1.35,False,412.4,445.37,25.38,10.0
TMPV,308.25,-3.05,0.24,36.0,-1.4964,329.65,347.39,32.6,25.8,11.58,419.0,False,,False,False,False,-1.71,False,306.65,325.63,10.86,10.0
BAJAJFINSV,1710.6,-2.04,0.16,34.0,-4.951,1802.28,1896.53,39.2,33.8,46.9,2195.0,False,,False,False,False,-0.44,False,1696.3,1780.95,4.92,10.0
GRASIM,2614.2,-1.27,0.06,43.1,-4.3891,2676.21,2744.56,31.2,20.7,76.08,2979.0,False,,False,False,False,0.12,False,2604.6,2728.33,11.89,10.0
SBILIFE,1840.6,-0.6,0.11,34.2,-8.8341,1919.84,1967.56,22.9,50.0,45.94,2129.04,False,,True,False,False,-0.9,False,1832.6,1909.51,8.61,10.0
HAVELLS,1258.0,-0.82,0.09,38.2,-8.2013,1310.76,1349.77,20.7,12.0,40.02,1662.3,False,,True,False,False,0.0,False,1255.7,1318.03,26.1,10.0
INDUSINDBK,799.9,-2.26,0.07,36.8,-5.6482,847.38,873.63,29.3,5.5,28.29,968.85,False,,False,False,False,-1.15,False,798.95,842.33,44.66,10.0
ICICIPRULI,531.5,-1.68,0.11,22.2,-5.9907,582.27,612.85,42.0,38.8,17.45,706.8,False,,False,False,False,-0.67,False,527.45,557.68,6.46,10.0
PNB,106.94,-2.84,0.29,35.6,-0.7014,114.11,118.61,29.7,24.0,3.86,135.15,False,,False,False,False,-0.86,False,106.25,112.73,8.39,10.0
HDFCAMC,2320.1,-2.77,0.14,38.0,-8.6441,2451.2,2547.75,26.1,24.4,82.92,2967.25,False,,False,False,False,-0.68,False,2300.6,2444.49,6.38,10.0
IOC,138.3,-1.58,0.44,28.2,-1.9997,152.29,159.08,34.7,9.4,5.54,186.61,False,,False,False,False,1.76,False,137.67,146.61,13.19,10.0
AMBUJACEM,415.75,-1.43,0.08,34.0,-1.0427,444.94,483.07,48.7,50.9,14.93,624.95,False,,False,False,False,-0.9,False,412.8,438.14,7.59,10.0
DABUR,425.1,-1.37,0.11,29.6,-3.2937,455.99,480.89,37.3,9.3,12.04,573.97,False,,False,False,False,-0.23,False,424.6,443.16,36.12,10.0
BEL,409.15,-1.04,0.16,38.0,-5.0849,431.3,430.67,22.3,50.5,12.93,473.45,False,,True,False,False,-0.37,False,406.35,428.55,6.93,10.0
BANDHANBNK,150.72,-1.76,0.1,37.1,-3.2932,163.26,163.03,33.4,13.6,6.66,190.74,False,,False,False,False,-0.43,False,150.4,160.72,31.25,10.0
BANKBARODA,263.7,-3.3,0.31,34.2,-2.4568,283.28,290.27,29.2,16.5,9.16,325.5,False,,False,False,False,-1.17,False,262.55,277.44,11.95,10.0
ADANIGREEN,843.35,-1.22,0.11,41.2,-0.8188,873.48,910.91,26.7,54.6,34.27,1177.55,False,,False,False,False,-0.39,False,834.8,894.75,6.01,10.0
GODREJCP,1022.0,-1.69,0.16,34.9,-2.5628,1072.22,1125.53,40.8,34.9,30.69,1297.65,False,,False,False,False,-0.44,False,1014.5,1068.04,6.14,10.0
VEDL,651.45,-1.09,0.25,43.7,-6.1782,671.11,660.44,13.8,7.6,24.64,757.15,False,,False,True,False,-0.49,False,650.2,688.42,29.58,8.0
RECLTD,324.4,-1.01,0.11,43.4,-0.2722,332.84,341.85,15.4,67.7,11.74,425.03,False,,True,False,False,-0.52,False,321.05,342.01,5.26,5.0
CANBK,131.96,-3.35,0.29,38.9,-0.5352,139.12,143.8,22.9,15.2,4.98,162.89,False,,False,False,False,-1.27,False,131.44,139.43,14.37,5.0
HEROMOTOCO,5199.5,-1.7,0.14,43.1,-18.7996,5363.44,5474.85,17.7,34.1,176.0,6266.36,False,,False,False,False,-1.47,False,5176.5,5463.5,11.48,0.0
ADANIPORTS,1358.0,-1.3,0.13,42.0,-3.9754,1401.19,1440.17,18.4,29.2,45.99,1584.0,False,,False,False,False,-0.07,False,1351.0,1426.99,9.86,0.0
