Symbol,Close,Change%,Volume_Ratio,RSI,MACD_Hist,EMA20,EMA50,ADX,Range_Pos%,ATR,52W_High,Near_52W_High,Candle,Marubozu,FinalHrFade,RS_Beat,Weekly_Align,Gap_Up,Gap_Pct,Sector_Align,Breadth_OK,Stop_Loss,Target,RR_Ratio,BTST_Score
IBM,243.14,0.31,0.55,44.5,0.5741,246.12,258.88,21.4,49.0,7.83,323.06,False,,False,True,False,False,False,-0.11,True,True,240.14,254.89,3.92,21.7
AXP,301.45,-0.34,0.91,43.2,2.1265,303.96,320.78,30.7,23.9,8.44,386.63,False,,False,True,False,False,False,1.42,True,True,299.63,314.11,6.96,21.7
NVDA,175.75,0.77,0.84,47.3,-0.4326,176.88,180.73,22.0,37.9,5.63,212.17,False,,False,True,True,False,True,0.92,True,True,174.76,184.2,8.54,21.2
BSX,62.0,-1.2,1.1,24.4,-0.3697,68.96,75.43,43.1,2.0,2.38,109.5,False,,False,True,False,False,False,1.55,True,True,61.96,65.57,89.25,21.2
AMGN,353.28,0.41,0.87,44.2,-1.0271,357.38,356.29,19.8,30.3,7.9,391.29,False,,False,True,False,True,True,0.87,True,True,351.66,365.13,7.31,19.6
ABBV,214.98,-1.15,0.5,46.9,0.4243,215.68,219.79,21.9,18.0,5.72,241.12,False,,False,True,False,False,False,0.4,True,True,213.78,223.56,7.15,17.4
MA,491.65,-1.6,0.83,41.7,0.4434,501.82,516.4,24.4,34.6,12.12,600.08,False,,False,True,False,False,False,0.51,True,True,485.65,509.83,3.03,17.4
APH,127.7,1.07,0.56,45.4,-0.1253,130.02,135.14,18.9,21.0,6.37,166.71,False,,False,True,True,False,True,0.65,True,True,127.16,137.25,17.69,17.0
ISRG,464.45,0.75,0.83,39.0,-0.9922,474.74,492.72,32.3,48.7,12.56,603.88,False,,False,True,True,False,False,0.43,True,True,460.76,483.3,5.11,17.0
MCD,307.29,-1.13,1.08,36.7,-1.1343,315.06,317.25,26.6,47.0,5.41,339.85,False,,False,True,False,False,False,-0.2,True,True,304.0,315.41,2.47,17.0
MSFT,369.37,-0.22,0.76,35.7,-1.2951,382.19,405.09,32.3,20.2,8.88,552.24,False,,False,True,False,False,False,0.81,True,True,368.2,382.69,11.38,17.0
SYK,329.4,0.25,0.52,35.4,-0.8142,340.22,351.53,35.1,55.0,9.21,401.86,False,,False,False,False,False,False,0.21,True,True,326.75,343.21,5.21,15.0
INTU,425.87,-1.51,0.87,44.5,-0.968,436.73,464.81,21.3,67.8,20.47,810.72,False,,False,False,False,False,False,-0.31,True,True,413.75,456.58,2.53,15.0
AON,321.34,-0.45,0.63,46.9,0.2185,323.73,329.09,16.9,45.3,8.5,398.91,False,,False,True,False,False,False,-0.28,True,True,318.0,334.09,3.82,13.2
KO,76.08,0.04,0.93,48.4,-0.0591,76.24,75.7,18.7,74.8,1.27,81.44,False,,False,False,False,True,False,0.13,False,True,75.26,77.98,2.32,13.0
GILD,140.3,0.67,0.72,48.3,-0.3523,140.59,139.87,18.7,55.4,3.34,156.4,False,,False,True,False,True,False,-0.14,True,True,138.82,145.32,3.39,11.0
PG,144.09,-0.24,0.44,36.0,-0.3064,147.82,150.4,28.8,50.0,2.76,170.13,False,,False,False,False,False,False,-0.36,False,True,143.21,148.23,4.7,10.0
CL,85.41,0.21,0.71,38.9,-0.2321,87.56,88.38,32.0,59.4,1.96,99.33,False,,False,False,False,False,False,-0.52,False,True,84.62,88.35,3.72,10.0
MDLZ,57.07,-0.99,0.7,49.0,0.1972,57.14,57.29,12.4,49.1,1.39,69.34,False,,False,True,False,False,False,-0.03,False,True,56.51,59.16,3.73,8.9
CMCSA,28.05,-2.3,0.51,33.9,-0.147,29.38,29.6,22.0,46.9,0.8,33.36,False,,False,True,False,False,False,-1.57,True,True,27.75,29.25,4.0,8.5
ABT,102.38,-0.28,0.45,31.6,-0.3934,106.54,110.81,30.5,10.8,2.35,137.13,False,,False,True,False,False,False,0.17,False,True,102.21,105.91,20.77,8.5
CRM,186.24,-0.23,0.91,43.6,-0.243,190.11,200.64,13.8,54.3,7.64,294.59,False,,False,True,False,False,False,0.1,True,True,183.02,197.7,3.56,8.5
CEG,279.46,0.08,1.06,39.5,-2.8445,298.68,305.6,18.7,23.0,15.02,411.68,False,,False,True,False,False,True,1.14,True,True,277.3,302.0,10.44,8.5
VRTX,447.26,0.16,0.78,43.8,-1.7284,456.72,461.35,13.1,7.6,12.75,510.77,False,,False,True,False,False,True,0.59,True,True,446.71,466.38,34.76,8.5
NOW,104.04,-0.49,0.72,40.9,-0.6931,108.47,116.33,19.0,52.3,4.98,211.48,False,,False,True,False,False,False,0.65,True,True,102.01,111.51,3.68,8.5
CSCO,77.93,0.44,0.73,46.8,-0.1441,78.92,78.51,14.2,9.2,2.11,88.19,False,,False,True,False,True,False,0.37,False,True,77.81,81.09,26.33,6.8
BKNG,4184.56,-0.61,1.04,44.6,-4.9376,4262.37,4441.44,19.6,67.0,157.67,5805.0,False,,False,False,False,False,False,0.15,True,True,4051.22,4421.06,1.77,5.0
BRK-B,478.5,-0.15,0.73,42.9,-0.6573,482.83,488.52,17.6,32.5,6.99,542.07,False,,False,False,False,False,False,-0.05,True,True,477.25,488.99,8.39,5.0
UBER,71.71,-0.31,0.74,44.7,-0.2507,73.04,75.57,18.1,47.6,2.39,101.99,False,,False,True,False,False,False,0.7,True,True,70.81,75.3,3.99,4.2
ORCL,145.23,-1.28,0.91,44.3,-0.4294,148.97,159.19,13.4,11.3,6.79,344.21,False,,False,True,False,False,False,1.35,False,True,144.67,155.42,18.2,0.0
